Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,Returns
18-04-2016,625.35,637.64,624.9603,635.35,4360883,0,1,625.35,637.64,624.9603,635.35,4360883,-0.01172582
19-04-2016,637.14,638.01,620.8,627.9,4055870,0,1,637.14,638.01,620.8,627.9,4055870,0.008106386
20-04-2016,630,636.55,623,632.99,2609425,0,1,630,636.55,623,632.99,2609425,-0.00314381
21-04-2016,631,637.82,628.5,631,2596298,0,1,631,637.82,628.5,631,2596298,-0.016640254
22-04-2016,624.47,628.25,611.56,620.5,5083904,0,1,624.47,628.25,611.56,620.5,5083904,0.00918614
25-04-2016,616.61,626.98,616.2511,626.2,2682924,0,1,616.61,626.98,616.2511,626.2,2682924,-0.014883424
26-04-2016,626.17,626.7549,614.88,616.88,2521433,0,1,626.17,626.7549,614.88,616.88,2521433,-0.016713137
27-04-2016,611.8,615.95,601.28,606.57,4068767,0,1,611.8,615.95,601.28,606.57,4068767,-0.007534168
28-04-2016,615.54,626.8,599.2,602,7872605,0,1,615.54,626.8,599.2,602,7872605,0.095664452
29-04-2016,666,669.98,654,659.59,10310739,0,1,666,669.98,654,659.59,10310739,0.036780424
02-05-2016,663.92,685.5,662.0251,683.85,6578517,0,1,663.92,685.5,662.0251,683.85,6578517,-0.018322732
03-05-2016,677.36,680.3,670.43,671.32,4923351,0,1,677.36,680.3,670.43,671.32,4923351,-0.000625633
04-05-2016,662.59,674,662.14,670.9,4635462,0,1,662.59,674,662.14,670.9,4635462,-0.01760322
05-05-2016,673.31,676.49,656,659.09,4884114,0,1,673.31,676.49,656,659.09,4884114,0.022546238
06-05-2016,656.05,676.95,656.01,673.95,4365345,0,1,656.05,676.95,656.01,673.95,4365345,0.00860598
09-05-2016,673.95,686.98,671.41,679.75,3982161,0,1,673.95,686.98,671.41,679.75,3982161,0.03430673
10-05-2016,694,704.55,693.5,703.07,6105570,0,1,694,704.55,693.5,703.07,6105570,0.014450908
11-05-2016,705.79,719,701.65,713.23,7338196,0,1,705.79,719,701.65,713.23,7338196,0.00658974
12-05-2016,717.38,722.45,711.51,717.93,5048150,0,1,717.38,722.45,711.51,717.93,5048150,-0.011157077
13-05-2016,714.64,719.25,706.51,709.92,4763419,0,1,714.64,719.25,706.51,709.92,4763419,0.001042371
16-05-2016,710.13,713.25,700.28,710.66,5432920,0,1,710.13,713.25,700.28,710.66,5432920,-0.021655925
17-05-2016,709.9,714.47,693.91,695.27,5121357,0,1,709.9,714.47,693.91,695.27,5121357,0.003135473
18-05-2016,689.56,702.5399,688.76,697.45,4283189,0,1,689.56,702.5399,688.76,697.45,4283189,0.00153416
19-05-2016,691.88,699.4,689.56,698.52,3025566,0,1,691.88,699.4,689.56,698.52,3025566,0.00612724
